"'Número de Autorización","'Fecha de Transacción","'Descripción","'Valor Original","'Tasa Pactada","'Tasa EA Facturada","'Cargos y Abonos","'Saldo a Diferir","'Cuotas",
"'85.25390625","'82.56835938","'85.93750000","'85.69335938","'82.08007813","'84.03320313","'86.18164063","'85.59570313","'81.25000000",
"'91.55273438","'88.67187500","'92.28515625","'92.04101563","'88.18359375","'90.23437500","'92.57812500","'91.94335938","'87.30468750",
"'90.18554688","'87.35351563","'90.91796875","'90.62500000","'86.81640625","'88.86718750","'91.21093750","'90.57617188","'85.98632813",
"'89.64843750","'86.81640625","'90.38085938","'90.13671875","'86.32812500","'88.37890625","'90.67382813","'90.03906250","'85.49804688",
"'89.50195313","'86.66992188","'90.18554688","'89.94140625","'86.13281250","'88.18359375","'90.47851563","'89.84375000","'85.30273438",
"'89.20898438","'86.37695313","'89.89257813","'89.64843750","'85.88867188","'87.89062500","'90.18554688","'89.55078125","'85.00976563",
"'91.25976563","'88.37890625","'92.04101563","'91.74804688","'87.89062500","'89.94140625","'92.28515625","'91.65039063","'87.01171875",
"'90.62500000","'87.74414063","'91.35742188","'91.06445313","'87.25585938","'89.30664063","'91.60156250","'90.96679688","'86.37695313",
"'90.72265625","'87.84179688","'91.45507813","'91.16210938","'87.35351563","'89.40429688","'91.69921875","'91.06445313","'86.47460938",
"'90.77148438","'87.89062500","'91.50390625","'91.21093750","'87.40234375","'89.45312500","'91.74804688","'91.11328125","'86.52343750",
"'84.96093750","'82.27539063","'85.64453125","'85.40039063","'81.83593750","'83.74023438","'85.88867188","'85.30273438","'81.00585938",
"'90.18554688","'87.35351563","'90.91796875","'90.62500000","'86.81640625","'88.86718750","'91.21093750","'90.57617188","'85.98632813",
"'91.25976563","'88.37890625","'92.04101563","'91.74804688","'87.89062500","'89.94140625","'92.28515625","'91.65039063","'87.01171875",
"'87.98828125","'85.20507813","'88.72070313","'88.42773438","'84.71679688","'86.71875000","'88.96484375","'88.37890625","'83.88671875",
"'87.25585938","'84.47265625","'87.93945313","'87.69531250","'83.98437500","'85.98632813","'88.23242188","'87.59765625","'83.15429688",
"'88.08593750","'85.30273438","'88.81835938","'88.52539063","'84.81445313","'86.81640625","'89.06250000","'88.47656250","'83.98437500",
"'89.35546875","'86.52343750","'90.03906250","'89.79492188","'86.03515625","'88.03710938","'90.33203125","'89.69726563","'85.15625000",
"'87.15820313","'84.37500000","'87.84179688","'87.59765625","'83.93554688","'85.88867188","'88.13476563","'87.50000000","'83.10546875",
"'86.91406250","'84.17968750","'87.59765625","'87.35351563","'83.69140625","'85.64453125","'87.89062500","'87.25585938","'82.86132813",
"'61.47460938","'59.52148438","'61.96289063","'61.76757813","'59.17968750","'60.59570313","'62.15820313","'61.71875000","'58.59375000",
"'93.01757813","'90.08789063","'93.79882813","'93.50585938","'89.59960938","'91.69921875","'94.09179688","'93.40820313","'88.67187500",
