'Page number,'Número de
Autorización,'Fecha de
Transacción,'Descripción,'Valor Original,'Tasa
Pactada,'Tasa EA
Facturada,'Cargos y Abonos,'Saldo a Diferir,'Cuotas,'Confidence score % (Número de
Autorización),'Confidence score % (Fecha de
Transacción),'Confidence score % (Descripción),'Confidence score % (Valor Original),'Confidence score % (Tasa
Pactada),'Confidence score % (Tasa EA
Facturada),'Confidence score % (Cargos y Abonos),'Confidence score % (Saldo a Diferir),'Confidence score % (Cuotas)
'4,'R03267,'12/01/2025,'DLO*RAPPI,'56,800.00,'0,0000,'00,0000,'56,800.00,'0.00,'1/1,'35.91418076,'83.98139191,'93.83017731,'98.42880249,'86.59143066,'86.75069427,'95.88003540,'90.13363647,'78.88716888
'4,'R07045,'12/01/2025,'DLO*RAPPI,'44,850.00,'0,0000,'00,0000,'44,850.00,'0.00,'1/1,'36.70187759,'84.41351318,'93.69775391,'98.35099792,'87.07207489,'87.26570892,'93.72123718,'90.58740234,'79.52966309
'4,'R05443,'11/01/2025,'MOVISTAR PAGOSEPAYCO,'166,175.00,'0,0000,'00,0000,'166,175.00,'0.00,'1/1,'37.31669235,'82.76948547,'99.53469849,'98.13841248,'85.59880066,'85.78492737,'95.58483124,'89.20790100,'78.01152802
'4,'T06195,'08/01/2025,'PPRO*MICROSOFT,'42,990.00,'0,0000,'00,0000,'42,990.00,'0.00,'1/1,'87.51390839,'82.53427887,'94.31462860,'98.46578979,'85.56332397,'85.70696259,'97.38594818,'89.17145538,'77.82048798
'4,'C06203,'03/01/2025,'ABONO SUCURSAL VIRTUAL,'3,191,670.00-,',','3,191,670.00-,'0.00,','36.13146973,'82.17916107,'96.02793121,'66.97707367,'0.00000000,'0.00000000,'79.09498596,'89.59972382,'0.00000000
'4,'F02495,'03/01/2025,'DiDi CO Food,'46,394.00,'0,0000,'00,0000,'46,394.00,'0.00,'1/1,'37.39903641,'81.12542725,'98.08081055,'98.08258057,'84.69059753,'84.82386017,'90.46385193,'88.45549011,'77.43485260
'4,'F08545,'03/01/2025,'MC DONALD S,'32,400.00,'0,0000,'00,0000,'32,400.00,'0.00,'1/1,'44.75045013,'82.99575806,'97.06675720,'98.50192261,'86.13994598,'86.30589294,'97.14555359,'89.93745422,'78.81623840
'4,'R09471,'03/01/2025,'EXITO WOW,'507.201.00,'0,0000,'00,0000,'507,201.00,'0,00,'1/1,'45.77214050,'82.87370300,'99.44370270,'96.52007294,'85.97720337,'86.13473511,'96.01519012,'89.73062134,'78.40682220
'4,'R00988,'03/01/2025,'INVERSIONES TNS CHIPIC,'20,600.00,'0,0000,'00,0000,'20,600.00,'0,00,'1/1,'87.34437561,'82.58788300,'99.44652557,'95.44052124,'85.22163391,'85.34483337,'93.05892944,'88.90593719,'77.70775604
'4,'R01874,'03/01/2025,'DLO*RAPPI,'82,950.00,'0,0000,'00,0000,'82,950.00,'0.00,'1/1,'33.94684601,'82.13422394,'95.34040833,'96.53949738,'84.75193787,'84.86814880,'92.73075104,'88.41383362,'77.25102997
'4,'R08903,'03/01/2025,'ANANDA TALLER DULCE AR,'47,400.00,'0,0000,'00,0000,'47,400.00,'0.00,'1/1,'88.00005341,'83.39807129,'98.94516754,'94.49816895,'85.75397491,'85.89257050,'92.78800201,'89.57804108,'77.50477600
'4,'R00113,'31/12/2024,'RAPPI*RAPPI COLOMBIA,'72,500.00,'0,0000,'00,0000,'29,969.44,'0,00,'1/1,'87.65354156,'83.19010162,'99.52354431,'88.67923737,'85.51174927,'85.63217926,'87.08282471,'89.28830719,'77.16629791
'4,'R06284,'31/12/2024,'DLO*RAPPI,'64,350.00,'0,0000,'00,0000,'64,350.00,'0,00,'1/1,'88.68324280,'83.81893158,'99.44102478,'94.68183899,'86.50370026,'86.39237213,'97.83972168,'90.25511932,'77.25297546
'4,'R02173,'30/12/2024,'DLO*RAPPI,'37,650.00,',','0.00,'0,00,'1/1,'88.81332397,'84.44303894,'99.33694458,'72.70348358,'0.00000000,'0.00000000,'98.98388672,'90.97248077,'77.66384125
